brand_name,generic_name,type,uses,side_effects,food_instruction,warnings
Dolo 650,Paracetamol,Tablet,Fever and pain relief,"Nausea, liver risk on overdose",After food,Do not exceed 4g per day. Avoid alcohol.
Crocin,Paracetamol,Tablet,Fever and headache,"Nausea, allergic reactions",After food,Do not exceed 4g per day.
Calpol,Paracetamol,Syrup,Fever and pain relief in children,"Nausea, rash",After food,Use measuring cup. Follow age-based dosage.
Combiflam,Ibuprofen + Paracetamol,Tablet,Pain relief and inflammation,"Stomach upset, acidity",After food,Avoid if you have stomach ulcers.
Saridon,Propyphenazone + Paracetamol + Caffeine,Tablet,Headache and body pain,"Dizziness, nausea",After food,Do not take more than 3 tablets per day.
Meftal Spas,Mefenamic Acid + Dicyclomine,Tablet,Menstrual cramps and abdominal pain,"Nausea, diarrhea",After food,Avoid on empty stomach.
Meftal-P,Mefenamic Acid,Suspension,Fever and pain in children,"Nausea, rash",After food,Use measuring cup.
Brufen,Ibuprofen,Tablet,Pain and inflammation,"Stomach upset, dizziness",After food,Avoid if you have kidney issues.
Voveran,Diclofenac,Tablet,Pain and swelling,"Stomach pain, nausea",After food,Do not use for more than 5 days without doctor advice.
Voveran SR,Diclofenac Sustained Release,Tablet,Chronic pain and arthritis,"Stomach pain, acidity",After food,Swallow whole. Do not crush.
Flexon,Ibuprofen + Paracetamol,Tablet,Muscle and joint pain,"Stomach upset, drowsiness",After food,Avoid alcohol.
Zerodol SP,Aceclofenac + Paracetamol + Serratiopeptidase,Tablet,Pain and swelling with inflammation,"Stomach upset, nausea",After food,Do not take on empty stomach.
Zerodol P,Aceclofenac + Paracetamol,Tablet,Pain and inflammation,"Stomach upset, acidity",After food,Take with food to reduce stomach irritation.
Hifenac P,Aceclofenac + Paracetamol,Tablet,Pain and inflammation,"Nausea, stomach pain",After food,Avoid if you have peptic ulcer.
Ultracet,Tramadol + Paracetamol,Tablet,Moderate to severe pain,"Dizziness, nausea, drowsiness",After food,May cause drowsiness. Do not drive.
Azithral 500,Azithromycin,Tablet,Bacterial infections,"Stomach upset, diarrhea",Before food,Complete the full course.
Azee 500,Azithromycin,Tablet,Throat and respiratory infections,"Nausea, stomach cramps",Before food,Take 1 hour before or 2 hours after food.
Zithromax,Azithromycin,Tablet,Bacterial infections,"Diarrhea, nausea",Before food,Complete the full course even if you feel better.
Augmentin 625,Amoxicillin + Clavulanic Acid,Tablet,Bacterial infections,"Diarrhea, nausea, rash",With food,Complete the full course. Take at the start of a meal.
Moxikind CV 625,Amoxicillin + Clavulanic Acid,Tablet,Bacterial infections,"Diarrhea, vomiting",With food,Complete the full course.
Amoxyclav,Amoxicillin + Clavulanic Acid,Tablet,Bacterial infections of ear nose and throat,"Diarrhea, nausea",With food,Do not skip doses.
Cefixime,Cefixime,Tablet,UTI and respiratory infections,"Stomach upset, headache",After food,Complete the full course.
Taxim-O,Cefixime,Tablet,Bacterial infections,"Diarrhea, nausea",After food,Complete the full course.
Cifran 500,Ciprofloxacin,Tablet,UTI and bacterial infections,"Nausea, diarrhea",After food,Avoid dairy products close to dose. Drink plenty of water.
Ciplox 500,Ciprofloxacin,Tablet,Urinary and respiratory infections,"Nausea, headache",After food,Avoid antacids within 2 hours.
Norflox TZ,Norfloxacin + Tinidazole,Tablet,Diarrhea and dysentery,"Nausea, dizziness",After food,Complete the full course. Avoid alcohol.
Metrogyl 400,Metronidazole,Tablet,Amoebic infections and dental infections,"Metallic taste, nausea",After food,Strictly avoid alcohol during and 48 hours after treatment.
Flagyl,Metronidazole,Tablet,Parasitic and bacterial infections,"Nausea, metallic taste",After food,Avoid alcohol completely.
Oflox 200,Ofloxacin,Tablet,Bacterial infections,"Nausea, headache, dizziness",After food,Avoid sunlight exposure. Complete full course.
Levoflox 500,Levofloxacin,Tablet,Respiratory and urinary infections,"Nausea, headache",After food,Complete full course. Avoid antacids.
Cepodem 200,Cefpodoxime,Tablet,Bacterial infections,"Diarrhea, nausea",After food,Complete the full course.
Monocef,Ceftriaxone,Injection,Severe bacterial infections,"Pain at injection site, rash",N/A,Given by healthcare professional only.
Pan 40,Pantoprazole,Tablet,Acidity and GERD,"Headache, dizziness, flatulence",Before food (empty stomach),Take 30-60 min before breakfast.
Pan D,Pantoprazole + Domperidone,Capsule,Acidity with nausea and bloating,"Headache, dry mouth",Before food,Take 30 minutes before first meal.
Pantocid,Pantoprazole,Tablet,Gastric ulcers and acidity,"Headache, diarrhea",Before food,Take on empty stomach.
Pantocid DSR,Pantoprazole + Domperidone SR,Capsule,Acidity with bloating and nausea,"Dry mouth, headache",Before food,Swallow whole. Do not chew.
Omez,Omeprazole,Capsule,Acidity and peptic ulcer,"Headache, nausea, flatulence",Before food,Take 30 min before food.
Omez D,Omeprazole + Domperidone,Capsule,Acidity with vomiting,"Headache, dry mouth",Before food,Take before meals.
Rantac 150,Ranitidine,Tablet,Acidity and stomach ulcers,"Headache, constipation",Before food,Avoid excessive use.
Zinetac,Ranitidine,Tablet,Acidity and heartburn,"Headache, dizziness",Before or after food,Take as directed.
Gelusil MPS,Dried Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Syrup,Acidity and gas,"Constipation, diarrhea",After food,Shake well before use.
Digene,Dried Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Tablet,Acidity gas and bloating,"Constipation",After food,Chew the tablet before swallowing.
Sucralfate,Sucralfate,Syrup,Stomach ulcers,"Constipation, dry mouth",Before food,Take 1 hour before meals on empty stomach.
Mucaine Gel,Oxetacaine + Aluminium Hydroxide + Magnesium Hydroxide,Gel,Acidity with stomach pain,"Constipation",Before food,Take 15 min before meals.
Montair LC,Montelukast + Levocetirizine,Tablet,Allergic rhinitis and asthma,"Drowsiness, headache",After food (night),Take at night before sleep.
Montair,Montelukast,Tablet,Asthma and allergic rhinitis,"Headache, stomach pain",After food (night),Take at night. Not for acute asthma attacks.
Allegra 120,Fexofenadine,Tablet,Allergic rhinitis and hives,"Headache, nausea",Before food,Does not cause drowsiness.
Allegra 180,Fexofenadine,Tablet,Chronic hives and allergies,"Headache, dizziness",Before food,Non-drowsy antihistamine.
Cetirizine,Cetirizine,Tablet,Allergies and cold symptoms,"Drowsiness, dry mouth",After food,May cause drowsiness. Avoid driving.
Okacet,Cetirizine,Tablet,Allergy and common cold,"Drowsiness, fatigue",After food,Take at night to avoid daytime drowsiness.
Avil 25,Pheniramine,Tablet,Severe allergic reactions,"Drowsiness, dry mouth",After food,Causes strong drowsiness. Do not drive.
